address,state,provAbortion,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
"49-111 California 111 #6A, Coachella, CA 92236",CA,Provides Abortions,33.669893,-116.165105,0.6,street_center,,State Rte 111,#,6A,Coachella,CA,Riverside County,92236,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6065,Coachella,614260,45609,2047,2,6.06505E+13,6065045609,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"4575 College Ave, San Diego, CA 92115",CA,Provides Abortions,32.760332,-117.066602,1,rooftop,4575,College Ave,,,San Diego,CA,San Diego County,92115,US,San Diego Geographic Information Source - JPA,2018,6,6073,San Diego,666000,2902,2006,2,6.073E+13,6073002902,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"2079 Compton Avenue Suite #104, Corona, CA 92881",CA,Provides Abortions,33.848691,-117.535747,1,rooftop,2079,Compton Ave,Ste,104,Corona,CA,Riverside County,92881,US,Riverside,2018,6,6065,Corona,616350,41909,2014,2,6.06504E+13,6065041909,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"1685 E. Main St. #301, El Cajon, CA 92021",CA,Provides Abortions,32.811094,-116.918806,1,rooftop,1685,E Main St,Ste,301,El Cajon,CA,San Diego County,92021,US,San Diego Geographic Information Source - JPA,2018,6,6073,El Cajon,621712,16401,2001,2,6.07302E+13,6073016401,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"347 W. Mission Ave, Escondido, CA 92025",CA,Provides Abortions,33.1288,-117.089846,1,range_interpolation,347,W Mission Ave,,,Escondido,CA,San Diego County,92025,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6073,Escondido,622804,20214,1003,1,6.07302E+13,6073020214,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"220 Euclid Ave, Suite 30, San Diego, CA 92114",CA,Provides Abortions,32.70605,-117.086035,1,rooftop,220,Euclid Ave,Ste,30,San Diego,CA,San Diego County,92114,US,San Diego Geographic Information Source - JPA,2018,6,6073,San Diego,666000,3304,2000,2,6.073E+13,6073003304,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"2017 First Ave, San Diego, CA 92101",CA,Provides Abortions,32.726463,-117.16362,1,rooftop,2017,1st Ave,,,San Diego,CA,San Diego County,92101,US,San Diego Geographic Information Source - JPA,2018,6,6073,San Diego,666000,5700,2000,2,6.07301E+13,6073005700,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"7526 Clairemont Mesa Blvd, San Diego, CA 92111",CA,Provides Abortions,32.833368,-117.157204,1,rooftop,7526,Clairemont Mesa Blvd,,,San Diego,CA,San Diego County,92111,US,San Diego Geographic Information Source - JPA,2018,6,6073,San Diego,666000,8511,1082,1,6.07301E+13,6073008511,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"10737 Camino Ruiz #258, San Diego, CA 92126",CA,Provides Abortions,32.913973,-117.142783,1,rooftop,10737,Camino Ruiz,#,258,San Diego,CA,San Diego County,92126,US,San Diego Geographic Information Source - JPA,2018,6,6073,San Diego,666000,8357,3001,3,6.07301E+13,6073008357,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"4501 Mission Bay Drive, San Diego, CA 92109",CA,Provides Abortions,32.803396,-117.216335,1,rooftop,4501,Mission Bay Dr,,,San Diego,CA,San Diego County,92109,US,San Diego Geographic Information Source - JPA,2018,6,6073,San Diego,666000,7800,1000,1,6.07301E+13,6073007800,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"12900 Frederick Street, Suite C, Moreno Valley, CA 92553",CA,Provides Abortions,33.933255,-117.261398,1,range_interpolation,12900,Frederick St,Ste,C,Moreno Valley,CA,Riverside County,92553,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6065,Moreno Valley,649270,42513,3006,3,6.06504E+13,6065042513,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"71777 San Jacinto Drive, Suite 202, Rancho Mirage, CA 92270",CA,Provides Abortions,33.743756,-116.412762,1,rooftop,71777,San Jacinto Dr,Ste,202,Rancho Mirage,CA,Riverside County,92270,US,Riverside,2018,6,6065,Rancho Mirage,659500,45103,4011,4,6.06505E+13,6065045103,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"3772 Tibbetts, Riverside, CA 92506",CA,Provides Abortions,33.947088,-117.399248,1,rooftop,3772,Tibbetts St,,,Riverside,CA,Riverside County,92506,US,City of Riverside,2018,6,6065,Riverside,662000,31100,4009,4,6.06503E+13,6065031100,"Riverside-San Bernardino-Ontario, CA",40140,metropolitan,"Los Angeles-Long Beach, CA",348,,
"1964 Via Centre, Vista, CA 92081",CA,Provides Abortions,33.183789,-117.283799,1,rooftop,1964,Via Ctr,,,Vista,CA,San Diego County,92081,US,San Diego Geographic Information Source - JPA,2018,6,6073,Vista,682996,19805,1007,1,6.07302E+13,6073019805,"San Diego-Carlsbad, CA",41740,metropolitan,,,,
"701 San Mateo NE, Albuquerque, NM 87108",NM,Provides Abortions,35.083813,-106.586612,0.9,rooftop,701,San Mateo Blvd NE,,,Albuquerque,NM,Bernalillo County,87108,US,Bernalillo,2018,35,35001,Albuquerque,3502000,502,2018,2,3.5001E+14,35001000502,"Albuquerque, NM",10740,metropolitan,"Albuquerque-Santa Fe-Las Vegas, NM",106,,
"730 St. Michael's Drive, Suite 4B, Santa Fe, NM 87505",NM,Provides Abortions,35.656638,-105.946155,0.33,place,,,,,Santa Fe,NM,Santa Fe County,87505,US,TIGER/Line® dataset from the US Census Bureau,2018,35,35049,Santa Fe,3570500,1102,2004,2,3.5049E+14,35049001102,"Santa Fe, NM",42140,metropolitan,"Albuquerque-Santa Fe-Las Vegas, NM",106,,
"1560 12th Street #7, Alamosa, CO 81101",CO,Provides Abortions,37.460398,-105.877736,1,rooftop,1560,12th St,Ste,7,Alamosa,CO,Alamosa County,81101,US,Statewide,2018,8,8003,Alamosa,801090,960300,1072,1,8.00396E+13,8003960300,,,,,,,
"1284 S. Abilene St, Aurora, CO 80012",CO,Provides Abortions,39.693552,-104.826914,1,rooftop,1284,S Abilene St St,,,Aurora,CO,Arapahoe County,80012,US,Arapahoe,2018,8,8005,Aurora,804000,81200,1000,1,8.00508E+13,8005081200,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
"2525 Arapahoe Ave, Suite C-200, Boulder, CO 80302",CO,Provides Abortions,40.015267,-105.262598,1,rooftop,2525,Arapahoe Ave,Unit,C200,Boulder,CO,Boulder County,80302,US,City of Boulder,2018,8,8013,Boulder,807850,12202,4021,4,8.01301E+13,8013012202,"Boulder, CO",14500,metropolitan,"Denver-Aurora, CO",216,,
"3480 Centennial Blvd., Colorado Springs, CO 80907",CO,Provides Abortions,38.880803,-104.849058,1,rooftop,3480,Centennial Blvd,,,Colorado Springs,CO,El Paso County,80907,US,El Paso,2018,8,8041,Colorado Springs,816000,7900,1009,1,8.04101E+13,8041007900,"Colorado Springs, CO",17820,metropolitan,,,,
"20 West North Street Cortez, CO 81321",CO,Provides Abortions,37.349898,-108.586236,1,rooftop,20,W North St,,,Cortez,CO,Montezuma County,81321,US,Montezuma,2018,8,8083,Cortez,817375,969300,5061,5,8.08397E+13,8083969300,,,,,,,
"46 Suttle St., Durango, CO 81303",CO,Provides Abortions,37.24696,-107.876103,1,rooftop,46,Suttle St,,,Durango,CO,La Plata County,81303,US,La Plata,2018,8,8067,Durango,822035,971100,1108,1,8.06797E+13,8067971100,"Durango, CO",20420,micropolitan,,,,
"825 South Shields St, Suites 4 - 7, Fort Collins, CO 80521",CO,Provides Abortions,40.575361,-105.096655,1,rooftop,825,S Shields St,Ste,7,Fort Collins,CO,Larimer County,80521,US,City of Fort Collins,2018,8,8069,Fort Collins,827425,503,3008,3,8.069E+13,8069000503,"Fort Collins, CO",22660,metropolitan,,,,
"50923 Highway 6 & 24, Glenwood Springs, CO 81601",CO,Provides Abortions,39.562022,-107.365347,0.87,rooftop,50923,6 & 24 Hwy,,24,Glenwood Springs,CO,Garfield County,81601,US,Garfield,2018,8,8045,Glenwood Springs,830780,951600,2019,2,8.04595E+13,8045951600,"Glenwood Springs, CO",24060,micropolitan,"Edwards-Glenwood Springs, CO",233,,
"3487B W 10th Street, Greeley, CO 80634",CO,Provides Abortions,40.42301,-104.734986,1,range_interpolation,3487,W 10th St,,,Greeley,CO,Weld County,80634,US,TIGER/Line® dataset from the US Census Bureau,2018,8,8123,Greeley,832155,1300,3012,3,8.123E+13,8123001300,"Greeley, CO",24540,metropolitan,"Denver-Aurora, CO",216,,
"3300 E Flamingo Rd #25, Las Vegas, NV 89121",NV,Provides Abortions,36.116776,-115.102976,1,rooftop,3300,E Flamingo Rd,Ste,25,Las Vegas,NV,Clark County,89121,US,Las Vegas,2018,32,32003,Paradise,3254600,1706,1018,1,3.2003E+14,32003001706,"Las Vegas-Henderson-Paradise, NV",29820,metropolitan,"Las Vegas-Henderson, NV-AZ",332,,
"3220 W Charleston Blvd., Las Vegas, NV 89102",NV,Provides Abortions,36.159422,-115.185961,1,rooftop,3220,W Charleston Blvd,,,Las Vegas,NV,Clark County,89102,US,Las Vegas,2018,32,32003,Las Vegas,3240000,1005,2014,2,3.2003E+14,32003001005,"Las Vegas-Henderson-Paradise, NV",29820,metropolitan,"Las Vegas-Henderson, NV-AZ",332,,
"131 W County Line Rd, Littleton, CO 80129",CO,Provides Abortions,39.567559,-104.989058,1,rooftop,131,W County Line Rd,,,Highlands Ranch,CO,Arapahoe County,80129,US,Statewide,2018,8,8005,Littleton,845255,5634,2035,2,8.00501E+13,8005005634,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
"7155 E 38th Ave, Denver, CO 80207",CO,Provides Abortions,39.770188,-104.905064,1,rooftop,7155,E 38th Ave,,,Denver,CO,Denver County,80207,US,Denver,2018,8,8031,Denver,820000,4102,1048,1,8.031E+13,8031004102,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
"111 11th Street Unit 102, Steamboat Springs, CO 80487",CO,Provides Abortions,40.488334,-106.837817,0.88,range_interpolation,111,11th St,Unit,102,Silverthorne,CO,Routt County,80498,US,TIGER/Line® dataset from the US Census Bureau,2018,8,8107,Steamboat Springs,873825,500,2017,2,8.107E+13,8107000500,"Steamboat Springs, CO",44460,micropolitan,"Steamboat Springs-Craig, CO",525,,
"317 Salem Place, Fairview Heights, IL 62208",IL,Provides Abortions,38.600246,-89.981761,1,rooftop,317,Salem Pl,,,Fairview Heights,IL,St. Clair County,62208,US,St Clair,2018,17,17163,Fairview Heights,1725141,503413,4004,4,1.71635E+14,17163503413,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,
"4251 Forest Park Avenue, St. Louis, MO 63108",MO,Provides Abortions,38.637145,-90.251207,1,rooftop,4251,Forest Park Ave,,,Saint Louis,MO,St. Louis city,63108,US,City of St Louis,2018,29,29510,St. Louis,2965000,118600,1006,1,2.95101E+14,29510118600,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,
"933 Liberty Avenue, Pittsburgh, PA 15222",PA,Provides Abortions,40.443508,-79.996853,1,rooftop,933,Liberty Ave,,,Pittsburgh,PA,Allegheny County,15222,US,Allegheny,2018,42,42003,Pittsburgh,4261000,20100,6028,6,4.2003E+14,42003020100,"Pittsburgh, PA",38300,metropolitan,"Pittsburgh-New Castle-Weirton, PA-OH-WV",430,,
"3706 Orin Road, Madison, WI 53704",WI,Provides Abortions,43.123406,-89.324019,1,rooftop,3706,Orin Rd,,,Madison,WI,Dane County,53704,US,Statewide,2018,55,55025,Madison,5548000,2602,2021,2,5.5025E+14,55025002602,"Madison, WI",31540,metropolitan,"Madison-Janesville-Beloit, WI",357,,
"435 S. Water Street, Milwaukee, WI 53204",WI,Provides Abortions,43.026361,-87.90625,1,rooftop,435,S Water St,,,Milwaukee,WI,Milwaukee County,53204,US,City of Milwaukee,2018,55,55079,Milwaukee,5553000,186500,1002,1,5.50792E+14,55079186500,"Milwaukee-Waukesha-West Allis, WI",33340,metropolitan,"Milwaukee-Racine-Waukesha, WI",376,,
"909 South Taylor Drive, Sheboygan, WI 53081",WI,Provides Abortions,43.745195,-87.742679,1,rooftop,909,S Taylor Dr,,,Sheboygan,WI,Sheboygan County,53081,US,Sheboygan,2018,55,55117,Sheboygan,5572975,400,2075,2,5.5117E+14,55117000400,"Sheboygan, WI",43100,metropolitan,,,,
"330 S. Garfield Ave. 3rd Floor, Suite 300, Alhambra, CA 91801",CA,Provides Abortions,34.091564,-118.123858,1,rooftop,330,S Garfield Ave,Ste,300,Alhambra,CA,Los Angeles County,91801,US,Los Angeles,2018,6,6037,Alhambra,600884,481002,2005,2,6.03748E+13,6037481002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"4070 Sterling Way, Baldwin Park, CA 91706",CA,Provides Abortions,34.084808,-117.961964,1,rooftop,4070,Sterling Way,,,Baldwin Park,CA,Los Angeles County,91706,US,Los Angeles,2018,6,6037,Baldwin Park,603666,405202,1004,1,6.03741E+13,6037405202,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"130 W Route 66, Glendora, CA 91740",CA,Provides Abortions,34.128229,-117.864973,1,rooftop,130,W Route 66,,,Glendora,CA,Los Angeles County,91740,US,Los Angeles,2018,6,6037,Glendora,630014,401102,3000,3,6.0374E+13,6037401102,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"1045 N. Lake Ave, Pasadena, CA 91104",CA,Provides Abortions,34.16396,-118.132931,1,rooftop,1045,N Lake Ave,,,Pasadena,CA,Los Angeles County,91104,US,Los Angeles,2018,6,6037,Pasadena,656000,462100,1008,1,6.03746E+13,6037462100,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"68 McDowell St, Asheville, NC 28801",NC,Provides Abortions,35.582206,-82.553838,1,rooftop,68,McDowell St,,,Asheville,NC,Buncombe County,28801,US,Buncombe,2018,37,37021,Asheville,3702140,900,1009,1,3.7021E+14,37021000900,"Asheville, NC",11700,metropolitan,"Asheville-Brevard, NC",120,,
"1765 Dobbins Drive, Chapel Hill, NC 27514",NC,Provides Abortions,35.944745,-79.01404,1,rooftop,1765,Dobbins Dr,,,Chapel Hill,NC,Orange County,27514,US,Orange,2018,37,37135,Chapel Hill,3711800,11205,3015,3,3.7135E+14,37135011205,"Durham-Chapel Hill, NC",20500,metropolitan,"Raleigh-Durham-Chapel Hill, NC",450,,
"1312 Ashley River Rd., Charleston, SC 29407",SC,Provides Abortions,32.797991,-79.999172,1,rooftop,1312,Ashley River Rd,,,Charleston,SC,Charleston County,29407,US,City of Charleston,2018,45,45019,Charleston,4513330,2605,3003,3,4.5019E+14,45019002605,"Charleston-North Charleston, SC",16700,metropolitan,,,,
"700 South Torrence Street, Charlotte, NC 28204",NC,Provides Abortions,35.208759,-80.835213,1,rooftop,700,S Torrence St,,,Charlotte,NC,Mecklenburg County,28204,US,Mecklenburg,2018,37,37119,Charlotte,3712000,2600,1021,1,3.7119E+14,37119002600,"Charlotte-Concord-Gastonia, NC-SC",16740,metropolitan,"Charlotte-Concord, NC-SC",172,,
"2964 Hydraulic Road, Charlottesville, VA 22901",VA,Provides Abortions,38.081343,-78.492125,1,rooftop,2964,Hydraulic Rd,,,Charlottesville,VA,Albemarle County,22901,US,Albemarle,2018,51,51003,,,10700,2000,2,5.1003E+14,51003010700,"Charlottesville, VA",16820,metropolitan,,,,
"2712 Middleburg Drive, Suite 107, Columbia, SC 29204",SC,Provides Abortions,34.01539,-81.00468,1,range_interpolation,2712,Middleburg Dr,Ste,107,Columbia,SC,Richland County,29204,US,TIGER/Line® dataset from the US Census Bureau,2018,45,45079,Columbia,4516000,1100,4005,4,4.5079E+14,45079001100,"Columbia, SC",17900,metropolitan,"Columbia-Orangeburg-Newberry, SC",192,,
"4551 Yadkin Rd, Fayetteville, NC, 28303",NC,Provides Abortions,35.079215,-78.959445,1,rooftop,4551,Yadkin Rd,,,Fayetteville,NC,Cumberland County,28303,US,Cumberland,2018,37,37051,Fayetteville,3722920,2001,1004,1,3.7051E+14,37051002001,"Fayetteville, NC",22180,metropolitan,"Fayetteville-Lumberton-Laurinburg, NC",246,,
"2207 Peters Creek Road, Roanoke, VA 24017",VA,Provides Abortions,37.311753,-80.005975,0.9,rooftop,2207,Peters Creek Rd NW,,,Roanoke,VA,Roanoke city,24017,US,Virginia Geographic Information Network (VGIN),2018,51,51770,Roanoke,5168000,2300,3000,3,5.177E+14,51770002300,"Roanoke, VA",40220,metropolitan,,,,
"1925 Tradd Court, Wilmington, NC 28401",NC,Provides Abortions,34.209029,-77.927377,1,rooftop,1925,Tradd Ct,,,Wilmington,NC,New Hanover County,28401,US,New Hanover,2018,37,37129,Wilmington,3774440,10700,1010,1,3.7129E+14,37129010700,"Wilmington, NC",48900,metropolitan,,,,
"3000 Maplewood Ave, Ste. 112, Winston-Salem, NC, 27103",NC,Provides Abortions,36.079883,-80.293182,1,rooftop,3000,Maplewood Ave,Ste,112,Winston Salem,NC,Forsyth County,27103,US,Forsyth,2018,37,37067,Winston-Salem,3775000,2200,1035,1,3.7067E+14,37067002200,"Winston-Salem, NC",49180,metropolitan,"Greensboro--Winston-Salem--High Point, NC",268,,
"2140 Babcock Rd, San Antonio, TX 78229",TX,Provides Abortions,29.502688,-98.58238,1,rooftop,2140,Babcock Rd,,,San Antonio,TX,Bexar County,78229,US,San Antonio,2018,48,48029,San Antonio,4865000,180702,1002,1,4.80292E+14,48029180702,"San Antonio-New Braunfels, TX",41700,metropolitan,,,,
"920 San Pedro Ave. Suite 150, San Antonio, TX 78212",TX,Provides Abortions,29.442416,-98.498862,1,rooftop,920,San Pedro Ave,Ste,150,San Antonio,TX,Bexar County,78212,US,San Antonio,2018,48,48029,San Antonio,4865000,110800,2015,2,4.80291E+14,48029110800,"San Antonio-New Braunfels, TX",41700,metropolitan,,,,
"220 Cobb Parkway North, Suite 500, Marietta, GA 30062",GA,Provides Abortions,33.955737,-84.522498,1,rooftop,220,Cobb Pkwy N,Ste,500,Marietta,GA,Cobb County,30062,US,City of Marietta,2018,13,13067,Marietta,1349756,30505,4011,4,1.3067E+14,13067030505,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122,,
"440 Moreland Avenue SE, Atlanta, GA 30316",GA,Provides Abortions,33.742113,-84.34883,1,rooftop,440,Moreland Ave SE,,,Atlanta,GA,DeKalb County,30316,US,City of Atlanta,2018,13,13089,Atlanta,1304000,20900,1031,1,1.3089E+14,13089020900,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122,,
"798 Lawrenceville Suwannee Road, Suite 300, Lawrenceville, GA 30043",GA,Provides Abortions,33.966275,-84.024272,1,rooftop,798,Lawrenceville Suwanee Rd,Ste,300,Lawrenceville,GA,Gwinnett County,30043,US,Gwinnett,2018,13,13135,,,50540,2004,2,1.31351E+14,13135050540,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122,,
"720 East 71st St, Savannah, GA 31405",GA,Provides Abortions,32.026794,-81.096386,1,rooftop,720,E 71st St,,,Savannah,GA,Chatham County,31405,US,Chatham,2018,13,13051,Savannah,1369000,3400,5034,5,1.3051E+14,13051003400,"Savannah, GA",42340,metropolitan,"Savannah-Hinesville-Statesboro, GA",496,,
"1144 Locust Street, Philadelphia, PA 19107",PA,Provides Abortions,39.947466,-75.160676,1,rooftop,1144,Locust St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia,2018,42,42101,Philadelphia,4260000,901,1009,1,4.2101E+14,42101000901,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Philadelphia, PA",37964
"1221 Powell Street, Norristown, PA 19401",PA,Provides Abortions,40.12351,-75.337372,1,rooftop,1221,Powell St,,,Norristown,PA,Montgomery County,19401,US,Montgomery,2018,42,42091,Norristown,4254656,203601,3014,3,4.20912E+14,42091203601,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Montgomery County-Bucks County-Chester County, PA",33874
"8 S Wayne Street, West Chester, PA 19382",PA,Provides Abortions,39.956743,-75.610309,1,range_interpolation,8,S Wayne St,,,West Chester,PA,Chester County,19382,US,TIGER/Line® dataset from the US Census Bureau,2018,42,42029,West Chester,4282704,302500,1028,1,4.20293E+14,42029302500,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Montgomery County-Bucks County-Chester County, PA",33874
"2751 Comly Road, Philadelphia, PA 19154",PA,Provides Abortions,40.104323,-75.000991,1,range_interpolation,2751,Comly Rd,,,Philadelphia,PA,Philadelphia County,19154,US,TIGER/Line® dataset from the US Census Bureau,2018,42,42101,Philadelphia,4260000,36100,2003,2,4.2101E+14,42101036100,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Philadelphia, PA",37964
"160 West Washington Street Suite 100, Hagerstown, MD 21740",MD,Provides Abortions,39.64376,-77.723446,1,range_interpolation,160,W Washington St,Ste,100,Hagerstown,MD,Washington County,21740,US,TIGER/Line® dataset from the US Census Bureau,2018,24,24043,Hagerstown,2436075,400,3004,3,2.4043E+14,24043000400,"Hagerstown-Martinsburg, MD-WV",25180,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,
"5602 Baltimore National Pike, Suite 600, Baltimore, MD 21228",MD,Provides Abortions,39.289786,-76.726622,1,rooftop,5602,Baltimore National Pike,Ste,600,Catonsville,MD,Baltimore County,21228,US,Baltimore,2018,24,24005,Woodlawn,2486475,401301,3025,3,2.40054E+14,24005401301,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,
"Jackson Place N, 966 Hungerford Drive, Suite 24, Rockville, MD, 20850",MD,Provides Abortions,39.089557,-77.184127,1,place,,,,,Rockville,MD,Montgomery County,20850,US,TIGER/Line® dataset from the US Census Bureau,2018,24,24031,,,701006,1001,1,2.40317E+14,24031701006,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,"Silver Spring-Frederick-Rockville, MD",43524
"100 Northpoint Pkwy., West Palm Beach, FL 33407",FL,Provides Abortions,26.7604,-80.099324,1,rooftop,100,Northpoint Pkwy,,,West Palm Beach,FL,Palm Beach County,33407,US,Palm Beach County,2018,12,12099,West Palm Beach,1276600,1002,2037,2,1.2099E+14,12099001002,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370,"West Palm Beach-Boca Raton-Delray Beach, FL",48424
"12000 Shaker Boulevard, Cleveland, OH 44120",OH,Provides Abortions,41.483605,-81.599023,1,rooftop,12000,Shaker Blvd,,,Cleveland,OH,Cuyahoga County,44120,US,Cuyahoga,2018,39,39035,Cleveland,3916000,119402,1000,1,3.90351E+14,39035119402,"Cleveland-Elyria, OH",17460,metropolitan,"Cleveland-Akron-Canton, OH",184,,
"1180 Beacon Street, Suite 5B, Brookline, MA 02446",MA,Provides Abortions,42.344294,-71.114765,1,rooftop,1180,Beacon St,Ste,5B,Brookline,MA,Norfolk County,2446,US,City of Brookline,2018,25,25021,Brookline,2509210,400100,4019,4,2.50214E+14,25021400100,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Boston, MA",14454
"99 North La Cienega Blvd, Beverly Hills, CA 90211",CA,Provides Abortions,34.067381,-118.376628,1,rooftop,99,N La Cienega Blvd,,,Beverly Hills,CA,Los Angeles County,90211,US,Los Angeles,2018,6,6037,Beverly Hills,606308,700802,1003,1,6.0377E+13,6037700802,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"14 DeKalb Ave, 2nd Floor, Brooklyn, NY 11201",NY,Provides Abortions,40.689857,-73.982219,1,rooftop,14,Dekalb Ave,,,Brooklyn,NY,Kings County,11201,US,City of New York,2018,36,36047,New York,3651000,3300,2005,2,3.6047E+14,36047003300,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"512 First Avenue North, Fargo, ND 58102",ND,Provides Abortions,46.876684,-96.786878,1,rooftop,512,1st Ave N,,,Fargo,ND,Cass County,58102,US,City of Fargo,2018,38,38017,Fargo,3825700,700,2004,2,3.8017E+14,38017000700,"Fargo, ND-MN",22020,metropolitan,"Fargo-Wahpeton, ND-MN",244,,
"811 South Perry Street, Montgomery, AL 36104",AL,Provides Abortions,32.366135,-86.306718,1,rooftop,811,S Perry St,,,Montgomery,AL,Montgomery County,36104,US,Montgomery,2018,1,1101,Montgomery,151000,700,2013,2,1.101E+13,1101000700,"Montgomery, AL",33860,metropolitan,,,,
"118 N Boulevard, Richmond, VA 23220",VA,Provides Abortions,37.554103,-77.4751,1,range_interpolation,118,N Blvd,,,Richmond,VA,Richmond city,23220,US,TIGER/Line® dataset from the US Census Bureau,2018,51,51760,Richmond,5167000,40900,1005,1,5.176E+14,51760040900,"Richmond, VA",40060,metropolitan,,,,
"1119 2nd Street SW, Roanoke, VA 24016",VA,Provides Abortions,37.262694,-79.944398,1,rooftop,1119,2nd St SW,,,Roanoke,VA,Roanoke city,24016,US,Virginia Geographic Information Network (VGIN),2018,51,51770,Roanoke,5168000,1200,1035,1,5.177E+14,51770001200,"Roanoke, VA",40220,metropolitan,,,,
"3819 West Broadway, Minneapolis, MN 55422",MN,Provides Abortions,45.02487,-93.332695,1,rooftop,3819,W Broadway,,,Minneapolis,MN,Hennepin County,55422,US,Hennepin,2018,27,27053,Robbinsdale,2754808,21300,1021,1,2.7053E+14,27053021300,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,"Minneapolis-St. Paul, MN-WI",378,,
"78-13 Roosevelt Avenue, Jackson Heights, NY 11372",NY,Provides Abortions,40.747425,-73.887097,1,rooftop,78-13,Roosevelt Ave,,,Jackson Heights,NY,Queens County,11372,US,City of New York,2018,36,36081,New York,3651000,28500,4001,4,3.6081E+14,36081028500,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
